R2-USB,149.86,48.26,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,149.86,50.80,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.00,50.80,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,153.67,5.08,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,109.22,62.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,73.66,33.02,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,68.58,34.29,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,35.56,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,29.21,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,22.86,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,19.05,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,40.64,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.02,108.94,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,66.04,102.87,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.90,50.80,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,21.59,100.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,69.85,29.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,49.53,99.06,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.22,10.16,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.04,19.05,0.00,,SJ
TP1,52.07,76.20,0.00,TPTP20R,TP20R
TP10,142.24,22.86,0.00,TPTP20R,TP20R
TP11,57.15,76.20,0.00,TPTP20R,TP20R
TP12,135.89,22.86,0.00,TPTP20R,TP20R
TP13,129.54,22.86,0.00,TPTP20R,TP20R
TP14,26.67,17.78,0.00,TPTP20R,TP20R
TP15,20.32,17.78,0.00,TPTP20R,TP20R
TP16,13.97,17.78,0.00,TPTP20R,TP20R
TP17,7.62,17.78,0.00,TPTP20R,TP20R
TP2,19.05,8.89,0.00,TPTP20R,TP20R
TP3,13.97,8.89,0.00,TPTP20R,TP20R
TP4,8.89,8.89,0.00,TPTP20R,TP20R
TP5,144.78,63.50,90.00,TPTP20R,TP20R
TP6,144.78,58.42,90.00,TPTP20R,TP20R
TP7,85.09,106.68,0.00,TPTP20R,TP20R
TP8,80.01,106.68,0.00,TPTP20R,TP20R
TP9,74.93,106.68,0.00,TPTP20R,TP20R
U1,40.64,57.15,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.95,57.28,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.36,58.42,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,142.24,54.61,180.00,MAX17048G+T10,SON50P200X200X80-9N
